crop_group,productivity_1989_kg_ha,productivity_2019_kg_ha,percent_change
Main crops for industry,9303.0,65754.0,606.8042566913899
Main subtropical fruits,3773.0,10690.0,183.32891598197722
Cereals for grain,2013.0,5160.0,156.33383010432192
Olive groves,971.0,2481.0,155.50978372811534
Citrus fruits,7791.0,19460.0,149.77538185085356
Main fresh fruits,6683.0,15451.0,131.19856351937753
Potatoes,11209.0,22953.0,104.77295030778836
Main dried legumes,560.0,797.0,42.32142857142858
Vineyards,4003.0,4948.0,23.60729452910317
Main nut fruits,1325.0,772.0,-41.73584905660377
